298	90
308	90
425	361
374	90
26	90
224	90
183	90
281	90
56	315
56	330
56	361
361	253
361	353
361	265
361	201
361	13
361	306
361	197
361	120
361	352
361	1
361	151
410	90
225	90
175	90
175	168
194	90
21	90
23	90
23	291
81	315
81	371
81	168
339	90
321	90
188	90
11	286
11	1
11	151
7	90
192	90
180	90
180	291
145	90
28	90
252	90
103	90
310	90
305	90
269	234
269	168
84	90
95	90
125	90
33	90
144	90
115	90
1	330
291	333
291	90
291	279
291	16
247	90
317	90
422	90
345	90
155	90
421	90
187	90
394	90
315	226
168	234
164	90
411	90
228	90
431	90
342	90
134	90
400	90
270	90
60	90
267	90
0	90
258	90
90	85
90	64
90	230
90	401
90	367
90	42
90	379
90	333
90	90
90	118
90	71
90	219
90	243
90	8
90	335
90	54
90	255
90	271
90	104
90	318
90	332
90	149
90	176
90	384
90	106
90	27
90	127
90	273
90	292
90	336
90	344
90	309
90	366
90	147
90	16
90	108
90	341
90	423
90	3
226	202
