S105_4.txt0.284	0.682	0.284	0.374	0.23204285714285627	0.14041914009366574
713001.txt0.189	0.705	0.189	0.162	0.058233008658008775	0.0954015923184977
191.txt0.228	0.763	0.228	0.403	0.12668128538128548	0.10424744984917884
176.txt0.111	0.528	0.111	0.036	0.023943290043290034	0.05101597010331965
S30.txt0.09	0.638	0.054	0.0	0.0	0.03673893241991773
S19.txt0.054	0.201	0.009	0.0	0.0	0.014111625937903534
710004_4.txt0.037	0.031	0.002	0.0	0.0	0.0037460511710511704
710004_3.txt0.027	0.031	0.0	0.0	0.0	0.0034115800865800873
z74.txt0.009	0.044	0.003	0.0	0.0	0.003973310067811102
93.txt0.013	0.228	0.013	0.01	0.0010653053841869634	0.006330862124998136
222.txt0.007	0.039	0.005	0.0	0.0	0.0022566367896324543
701003.txt0.008	0.07	0.0	0.0	0.0	0.0036243502859640443
710004_6.txt0.009	0.024	0.002	0.0	0.0	0.0028682357675004736
119.txt0.017	0.091	0.016	0.0	0.0	0.008051970078691779
z121.txt0.001	0.023	0.001	0.0	0.0	0.0008417548367900239
z131.txt0.0	0.02	0.0	0.0	0.0	0.0005388993650190267
104.txt0.001	0.156	0.001	0.0	0.0	0.0011110853545569677
z217.txt0.012	0.019	0.002	0.0	0.0	0.0029154401154401154
z35.txt0.002	0.074	0.002	0.0	0.0	0.0010705577833883188
z60.txt0.005	0.017	0.005	0.0	0.0	0.0014952725492205735
77.txt0.006	0.685	0.003	0.0	0.0	0.004168292134032159
148.txt0.235	0.711	0.235	0.202	0.09143935786435803	0.10758246646065006
z124.txt0.01	0.046	0.001	0.0	0.0	0.003036437771291998
z53.txt0.004	0.016	0.004	0.0	0.0	0.0013639856288972679
z65.txt0.002	0.011	0.002	0.0	0.0	0.0006972707049804765
S105_3.txt0.18	0.623	0.18	0.132	0.09261623376623385	0.0890594974075677
S105_5.txt0.155	0.64	0.097	0.0	0.0	0.06473640981727354
z71.txt0.0	0.003	0.0	0.0	0.0	0.0002777777777777778
z128.txt0.02	0.722	0.017	0.003	0.004521978021978022	0.017717318894190932
z72.txt0.016	0.091	0.013	0.002	0.00035	0.006649807811151613
z69.txt0.001	0.006	0.001	0.0	0.0	0.00033220789809757265
178.txt0.279	0.536	0.273	0.051	0.044466666666666675	0.12115448216606754
213.txt0.549	0.34	0.431	0.02	0.035	0.17903780663780716
233.txt0.0	0.003	0.0	0.0	0.0	0.00011166058761663944
S42.txt0.03	0.386	0.009	0.0	0.0	0.012112065129283698
713008.txt0.011	0.046	0.011	0.0	0.0	0.005007549440276261
235.txt0.001	0.007	0.0	0.0	0.0	0.00016182103790918264
710004_7.txt0.021	0.029	0.0	0.0	0.0	0.002544069307885098
S47.txt0.036	0.334	0.009	0.0	0.0	0.013359868490822071
220.txt0.007	0.08	0.007	0.001	0.0001111111111111111	0.00364848586491816
712001.txt0.101	0.213	0.027	0.0	0.0005	0.025588156206538558
221.txt0.365	0.483	0.356	0.112	0.11566666666666654	0.15383589743589762
z236.txt0.0	0.008	0.0	0.0	0.0	0.00018767107793651291
131.txt0.0	0.003	0.0	0.0	0.0	7.5e-05
z125.txt0.004	0.047	0.003	0.0	0.0	0.0024043544977621696
64.txt0.088	0.281	0.028	0.0	0.0	0.026059118499643503
z129.txt0.002	0.36	0.002	0.009	7.081857672706293e-05	0.0010044534494214755
z52.txt0.002	0.024	0.002	0.0	0.0	0.0010688696719298755
30.txt0.037	0.318	0.031	0.015	0.00368060273060273	0.02091732337219254
231.txt0.0	0.014	0.0	0.0	0.0	8.101168690731318e-05
z44.txt0.015	0.444	0.01	0.003	0.005316666666666667	0.00922424010516612
214.txt0.008	0.053	0.006	0.0	0.0	0.003750515750483914
710004_12.txt0.012	0.028	0.003	0.0	0.0	0.003138983238983239
236.txt0.0	0.018	0.0	0.0	0.0	6.721456962374407e-05
710004_5.txt0.052	0.071	0.005	0.0	0.0	0.009190967365967362
z27.txt0.039	0.331	0.031	0.012	0.004893087876176112	0.016771138242898602
S104.txt0.017	0.152	0.0	0.0	0.0	0.00535583227794213
118.txt0.0	0.053	0.0	0.0	0.0	0.00010218616133348161
